transport,name,line,weight,is_hub,base_occupancy
rtp,Metro Santa Marta - Metro Mixcoac,1-D,1.0,False,0.2
rtp,Ampliación Santiago - Metro Constitución de 1917,161,1.0,False,0.2
rtp,Palmas - Metro Constitución de 1917,161-C,1.0,False,0.2
rtp,Col. Buenavista (Parajes) - Central de Abasto,161-D,1.0,False,0.2
rtp,Barranca de Guadalupe - Metro Constitución de 1917,161-F,1.0,False,0.2
rtp,Santa Catarina - Metro Constitución de 1917,162,1.0,False,0.2
rtp,Campestre Potrero - Metro Zaragoza,162-B,1.0,False,0.2
rtp,Santa Catarina - Metro Universidad,162-D,1.0,False,0.2
rtp,San Miguel TeotongoTorres - Metro Zaragoza,163-A,1.0,False,0.2
rtp,San Miguel TeotongoAvisadero - Metro Zaragoza,163-B,1.0,False,0.2
rtp,Col. Miguel de la Madrid - Metro Zaragoza,164,1.0,False,0.2
rtp,Ejército de Oriente - Metro Constitución de 1917,165-A,1.0,False,0.2
rtp,IxtlahuacanMiravalle - Metro Zaragoza,166,1.0,False,0.2
rtp,Santa Catarina - Central de Abasto,46-C,1.0,False,0.2
rtp,Alameda Oriente - XochimilcoBosque de Nativitas,47-A,1.0,False,0.2
rtp,Metro Santa Marta - Metro Zapata,52-C,1.0,False,0.2
rtp,Toreo - Metro Constitución de 1917,57-C,1.0,False,0.2
rtp,Arenal 4a. Sección - Metro Pantitlán,168,1.0,False,0.2
rtp,León de los Aldama - Metro Chabacano,33,1.0,False,0.2
rtp,U.C.T.M. Atzacoalco - Carmen Serdán,37,1.0,False,0.2
rtp,San FelipeLeón de los Aldama - Central de Abasto,43,1.0,False,0.2
rtp,Col. Lomas de Cuautepec - Metro Indios Verdes,101,1.0,False,0.2
rtp,Ampliación Malacates - La VillaFerroplaza,101-A,1.0,False,0.2
rtp,Col. Forestal - La Villa (Ferroplaza),101-B,1.0,False,0.2
rtp,La Brecha - La VillaFerroplaza,101-D,1.0,False,0.2
rtp,La Brecha - Metro Indios Verdes,102,1.0,False,0.2
rtp,Ampliación Malacates - Metro La Raza,103,1.0,False,0.2
rtp,Col. El Tepetatal (El Charco) - Metro Potrero,104,1.0,False,0.2
rtp,Col. El Tepetatal (El Charco) - Metro Indios Verdes,108,1.0,False,0.2
rtp,Circuito Bicentenario Norte,200,1.0,False,0.2
rtp,Col. El Tepetatal (El Charco) - Metro La Raza,23,1.0,False,0.2
rtp,Zacatenco - Metro Potrero,25,1.0,False,0.2
rtp,Reclusorio Norte - Metro HidalgoAlameda Central,27-A,1.0,False,0.2
rtp,Metro El Rosario - Metro Tacuba,107,1.0,False,0.2
rtp,La Villa (Cantera) - Metro Tacuba por Ceylán,107-B,1.0,False,0.2
rtp,Aragón por Av. 604 - Metro Chapultepec,11-A,1.0,False,0.2
rtp,Aragón - Panteón San Isidro,12,1.0,False,0.2
